Name,Team(s),Matches,Runs,Bat Avg
Sai Sudharsan,GTI,15,759,54.21
S A Yadav,"MIN, KKR",16,717,65.18
V Kohli,RCB,15,657,54.75
Shubman Gill,"KKR, GTI",15,650,50
M R Marsh,"DCH, PWI, RPS, SUN, DDV, LSG",13,627,48.23
S S Iyer,"DDV, KKR, KXI",17,604,50.33
Y B K Jaiswal,RRO,14,559,43
Prabhsimran Singh,KXI,17,549,32.29
K L Rahul,"RCB, SUN, KXI, LSG, DDV",13,539,53.9
J C Buttler,"MIN, RRO, GTI",14,538,59.78
N Pooran,"KXI, SUN, LSG",14,524,43.67
H Klaasen,"RRO, RCB, SUN",14,487,44.27
Priyansh Arya,KXI,17,475,27.94
A K Markram,"KXI, SUN, LSG",13,445,34.23
Abhishek Sharma,"DDV, SUN",14,439,33.77
R G Sharma,"DCH, MIN",15,418,29.86
P D Salt,"DDV, KKR, RCB",13,403,33.58
R Parag,RRO,14,393,32.75
A M Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",13,390,35.45
R D Rickelton,MIN,14,388,29.85
T M Head,"RCB, SUN",13,374,31.17
N Wadhera,"MIN, KXI",16,369,30.75
S Dube,"RCB, RRO, CSK",14,357,32.45
Ishan Kishan,"GUJ, MIN, SUN",14,354,35.4
Shashank Singh,"SUN, KXI",17,350,50
Tilak Varma,MIN,16,343,31.18
D C Jurel,RRO,14,333,37
A Badoni,LSG,14,329,32.9
R M Patidar,RCB,15,312,24
A Porel,DDV,13,301,25.08
R A Jadeja,"RRO, KTK, CSK, GUJ",14,301,33.44
Angkrish Raghuvanshi,KKR,12,300,33.33
T Stubbs,"MIN, DDV",14,300,50
S E Rutherford,"DDV, RCB, GTI, MIN",13,291,32.33
S V Samson,"RRO, DDV, CSK",9,285,35.63
J P Inglis,"KXI, LSG",11,278,30.89
R R Pant,"DDV, LSG",14,269,24.45
A R Patel,"KXI, DDV",12,263,26.3
J M Sharma,"KXI, RCB",15,261,37.29
V Sooryavanshi,RRO,7,252,36
Naman Dhir,MIN,16,252,31.5
D Padikkal,"RCB, RRO, LSG",10,247,27.44
S P Narine,KKR,12,246,22.36
Ayush Mhatre,CSK,7,240,34.29
S O Hetmeyer,"RCB, DDV, RRO",14,239,21.73
A Verma,SUN,14,236,26.22
W G Jacks,"RCB, MIN",13,233,23.3
D Brevis,"MIN, CSK",6,225,37.5
H H Pandya,"MIN, GTI",15,224,24.89
N Rana,"MIN, KKR, RRO, DDV",11,217,21.7
Rinku Singh,KKR,13,206,29.43
Ashutosh Sharma,"KXI, DDV",13,204,29.14
F du Plessis,"CSK, RPS, RCB, DDV",9,202,22.44
K K Nair,"RCB, RRO, DDV, KXI",8,198,24.75
M S Dhoni,"CSK, RPS",14,196,24.5
R Ravindra,"CSK, KKR",8,191,27.29
T H David,"RCB, MIN",12,187,62.33
N K Reddy,SUN,13,182,22.75
Shahrukh Khan,"KXI, GTI",15,179,29.83
A D Russell,"DDV, KKR",13,167,18.56
Abdul Samad,"SUN, LSG",13,164,20.5
M P Stoinis,"KXI, RCB, DDV, LSG",13,160,26.67
D P Conway,CSK,6,156,26
D A Miller,"KXI, RRO, GTI, LSG, DDV",11,153,30.6
Q de Kock,"SUN, DDV, RCB, MIN, LSG, KKR",8,152,21.71
V Nigam,DDV,14,142,20.29
V R Iyer,"KKR, RCB",11,142,20.29
Washington Sundar,"RPS, RCB, SUN, GTI",6,133,26.6
R D Gaikwad,CSK,5,122,24.4
S Rizvi,"CSK, DDV",5,121,40.33
V Shankar,"CSK, SUN, DDV, GTI",6,118,39.33
S M Curran,"KXI, CSK",5,114,22.8
L S Livingstone,"RRO, KXI, RCB, SUN",10,112,16
K H Pandya,"MIN, LSG, RCB",15,109,18.17
Shubham Dubey,RRO,8,106,26.5
R Tewatia,"RRO, KXI, DDV, GTI",15,99,12.38
P J Cummins,"KKR, DDV, SUN",14,97,24.25
M A Agarwal,"RCB, DDV, RPS, KXI, SUN",4,95,31.67
P H K D Mendis,SUN,5,92,30.67
M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",3,92,46
J M Bairstow,"SUN, KXI, MIN",2,85,42.5
M Jansen,"MIN, SUN, KXI",14,75,18.75
Rahmanullah Gurbaz,KKR,5,74,18.5
Shaik Rasheed,CSK,5,71,14.2
R Shepherd,"SUN, LSG, MIN, RCB",8,70,35
U Patel,CSK,3,68,22.67
J G Bethell,RCB,2,67,33.5
J C Archer,"RRO, MIN",12,63,10.5
A Manohar,"GTI, SUN",8,61,12.2
H P Rana,KKR,13,57,14.25
Azmatullah Omarzai,"GTI, KXI",9,57,14.25
R A Tripathi,"RPS, RRO, KKR, SUN, CSK",5,55,11
J Fraser-McGurk,DDV,6,55,9.17
G J Maxwell,"DDV, MIN, KXI, RCB",7,48,8
C Bosch,MIN,3,47,23.5
Ramandeep Singh,"MIN, KKR",11,47,9.4
M J Santner,"CSK, MIN",13,40,20
Rashid Khan,"SUN, GTI",15,40,8
D L Chahar,"RPS, CSK, MIN",14,37,37
R Ashwin,"CSK, RPS, KXI, DDV, RRO",9,33,8.25
D J Hooda,"RRO, SUN, KXI, LSG, CSK",7,31,6.2
Arshad Khan,"MIN, LSG, GTI",9,23,11.5
Sediqullah Atal,DDV,1,22,22
Avesh Khan,"RCB, DDV, LSG, RRO",13,21,21
H V Patel,"RCB, DDV, KXI, SUN",13,21,10.5
B K G Mendis,GTI,1,20,20
S N Thakur,"KXI, RPS, CSK, DDV, KKR, LSG, MIN",10,18,6
Kuldeep Yadav,"KKR, DDV",14,18,6
G Coetzee,"MIN, GTI",4,17,8.5
J Overton,CSK,3,15,
Anshul Kamboj,"MIN, CSK",8,14,7
M P Breetzke,LSG,1,14,14
B Kumar,"PWI, SUN, RCB",14,14,4.67
Ravi Bishnoi,"KXI, LSG, RRO",11,13,6.5
A Taide,"KXI, SUN",1,13,13
X C Bartlett,KXI,4,11,11
Harpreet Brar,KXI,8,11,11
Mohammed Shami,"KKR, DDV, KXI, GTI, SUN, LSG",9,10,10
P V D Chameera,"LSG, KKR, DDV",6,10,
M M Theekshana,"CSK, RRO",11,10,5
K Rabada,"DDV, KXI, GTI",4,9,9
P W A Mulder,SUN,1,9,9
Wanindu Hasaranga,"RCB, RRO, LSG",11,9,1.8
Shahbaz Ahmed,"RCB, SUN, LSG",3,9,9
K T Maphaka,"MIN, RRO",2,8,
R A Bawa,"KXI, MIN",3,8,
T U Deshpande,"DDV, CSK, RRO",10,7,7
S Shedge,KXI,5,7,2.33
Noor Ahmad,"GTI, CSK",14,7,1.75
Akash Deep,"RCB, LSG",6,6,6
M A Starc,"RCB, KKR, DDV",11,6,3
R Minz,MIN,2,6,3
Sandeep Sharma,"KXI, SUN, RRO",10,6,
R Powell,"DDV, RRO, KKR",2,5,5
Moeen Ali,"RCB, CSK, KKR",6,5,2.5
R S Kishore,GTI,15,5,1.67
Prince Yadav,LSG,6,5,
Y Dayal,"GTI, RCB",15,4,2
A Madhwal,"MIN, RRO",4,4,
L H Ferguson,"RPS, KKR, GTI, RCB, KXI",4,4,
Mohammed Siraj,"SUN, RCB, GTI",15,3,
Kumar Kartikeya,"MIN, RRO",4,3,1.5
M Tiwari,DDV,1,3,3
Simarjeet Singh,"CSK, SUN",4,3,1.5
Fazalhaq Farooqi,"SUN, RRO",5,2,
S H Johnson,"GTI, KKR, CSK",4,2,
Arshdeep Singh,KXI,17,2,2
T A Boult,"SUN, KKR, DDV, MIN, RRO",16,2,2
M Bhandage,RCB,1,1,1
K K Ahmed,"SUN, DDV, CSK",14,1,
D Ferreira,"RRO, DDV",1,1,1
Digvesh Rathi,LSG,13,1,1
P V S Raju,MIN,2,1,
M M Sharma,"CSK, KXI, DDV, GTI",8,1,1
K V Sharma,"RCB, SUN, MIN, CSK",6,1,
C V Varun,"KXI, KKR",13,1,
